0,24,25
0,1,24
1,24,23
1,2,23
2,3,23
3,4,23
22,23,4
4,6,22
4,5,6
21,9,7
9,21,19
9,18,19
9,10,18
10,11,18
11,17,18
11,12,17
12,16,17
12,15,16
12,13,14
12,14,15
26,27,51
27,51,50
27,28,50
28,49,50
28,29,49
29,38,49
38,29,30
30,38,37
30,31,37
31,37,34
31,32,34
32,33,34
37,38,39
39,44,49
49,38,39
44,49,48
44,47,48
44,46,47
44,45,46
39,44,43
39,40,43
40,41,43
41,42,43
51,50,49
48,49,51
53,77,78
53,54,77
54,77,76
54,55,76
55,56,76
56,57,76
75,76,57
57,59,75
57,58,59
74,62,60
62,74,72
62,71,72
62,63,71
63,64,71
64,70,71
64,65,70
65,69,70
65,68,69
65,66,67
65,67,68
79,80,104
80,104,103
80,81,103
81,102,103
81,82,102
82,91,102
91,82,83
83,91,90
83,84,90
84,90,87
84,85,87
85,86,87
90,91,92
92,97,102
102,91,92
97,102,101
97,100,101
97,99,100
97,98,99
92,97,96
92,93,96
93,94,96
94,95,96
104,103,102
101,102,104
106,107,108
106,108,109
